System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
17:06:45:000, 15718055591768,    0.111,   21.000, 3200,  13.262,   1.467,   0.408,   9.794,   1.083,   0.301, 55,  0,   1.506,   0.167,   0.046,   0.567,   0.063,   0.017,  30.000,  51.000,  71.000,   0.000,   0.000,99999999,   0.000
17:06:45:121, 15718298516014,    0.233,    7.000, 1800,   5.656,   2.157,   0.599,   2.789,   1.423,   0.395, 53,  0,   0.935,   0.281,   0.078,   0.043,   0.068,   0.019,  30.000,  51.000,  71.000,   0.000,   0.000,99999999,   0.000
17:06:45:237, 15718528625988,    0.348,   16.000, 3300,   6.218,   2.875,   0.799,   3.849,   1.868,   0.519, 53,  0,   0.802,   0.373,   0.104,   0.000,   0.068,   0.019,  30.000,  51.000,  71.000,   0.000,   0.000,99999999,   0.000
17:06:45:348, 15718750502534,    0.459,    9.000, 3100,   7.949,   3.760,   1.045,   4.925,   2.417,   0.671, 53,  0,   1.013,   0.486,   0.135,   0.068,   0.076,   0.021,  30.000,  51.000,  71.000,   0.000,   0.000,99999999,   0.000
17:06:45:457, 15718967569792,    0.568,    8.000, 2500,   6.424,   4.461,   1.239,   3.499,   2.798,   0.777, 52,  0,   1.000,   0.595,   0.165,   0.058,   0.082,   0.023,  30.000,  51.000,  71.000,   0.000,   0.000,99999999,   0.000
17:06:45:566, 15719183644778,    0.677,    8.000, 2500,   5.296,   5.035,   1.399,   2.543,   3.074,   0.854, 52,  0,   0.968,   0.700,   0.194,   0.091,   0.092,   0.025,  30.000,  51.000,  71.000,   0.000,   0.000,99999999,   0.000
17:06:45:671, 15719393365459,    0.782,    6.000, 1800,   4.691,   5.529,   1.536,   1.781,   3.261,   0.906, 51,  0,   0.905,   0.795,   0.221,   0.030,   0.095,   0.026,  30.000,  51.000,  71.000,   0.000,   0.000,99999999,   0.000
17:06:45:781, 15719612852583,    0.892,   15.000, 3400,   8.385,   6.453,   1.792,   5.886,   3.910,   1.086, 53,  0,   0.964,   0.901,   0.250,   0.039,   0.099,   0.028,  30.000,  51.000,  71.000,   0.000,   0.000,99999999,   0.000
17:06:45:890, 15719828820309,    1.001,    9.000, 2200,   5.460,   7.045,   1.957,   2.483,   4.179,   1.161, 52,  0,   0.977,   1.007,   0.280,   0.076,   0.107,   0.030,  30.000,  51.000,  71.000,   0.000,   0.000,99999999,   0.000
17:06:45:996, 15720040120030,    1.107,   10.000, 2200,   4.759,   7.549,   2.097,   2.086,   4.400,   1.222, 51,  0,   0.958,   1.109,   0.308,   0.097,   0.118,   0.033,  30.000,  51.000,  71.000,   0.000,   0.000,99999999,   0.000
17:06:46:103, 15720254474493,    1.214,    8.000, 1900,   4.869,   8.073,   2.243,   1.906,   4.605,   1.279, 51,  0,   0.933,   1.209,   0.336,   0.061,   0.124,   0.035,  30.000,  51.000,  71.000,   0.000,   0.000,99999999,   0.000
17:06:46:221, 15720487813875,    1.332,   11.000, 3400,   5.496,   8.717,   2.421,   3.009,   4.958,   1.377, 52,  0,   0.815,   1.305,   0.362,   0.000,   0.124,   0.035,  30.000,  51.000,  71.000,   0.000,   0.000,99999999,   0.000
17:06:46:332, 15720709858406,    1.443,    7.000, 1800,   4.328,   9.200,   2.555,   1.585,   5.134,   1.426, 51,  0,   0.871,   1.402,   0.389,   0.066,   0.132,   0.037,  30.000,  51.000,  71.000,   0.000,   0.000,99999999,   0.000
17:06:46:440, 15720924756448,    1.551,   10.000, 1800,   4.248,   9.658,   2.683,   1.392,   5.285,   1.468, 51,  0,   0.937,   1.503,   0.418,   0.093,   0.142,   0.039,  30.000,  51.000,  71.000,   0.000,   0.000,99999999,   0.000
17:06:46:549, 15721141333243,    1.660,    9.000, 1800,   4.221,  10.117,   2.810,   1.268,   5.422,   1.506, 51,  0,   0.920,   1.603,   0.445,   0.083,   0.151,   0.042,  30.000,  51.000,  71.000,   0.000,   0.000,99999999,   0.000
17:06:46:655, 15721353297642,    1.766,    9.000, 1800,   4.108,  10.554,   2.932,   1.246,   5.555,   1.543, 50,  0,   0.919,   1.701,   0.472,   0.072,   0.158,   0.044,  30.000,  51.000,  71.000,   0.000,   0.000,99999999,   0.000
17:06:46:767, 15721577111789,    1.878,    6.000, 1800,   3.471,  10.944,   3.040,   0.940,   5.661,   1.572, 50,  0,   0.836,   1.795,   0.499,   0.046,   0.164,   0.045,  30.000,  51.000,  71.000,   0.000,   0.000,99999999,   0.000
17:06:46:876, 15721793016874,    1.987,    9.000, 1800,   4.370,  11.418,   3.172,   1.395,   5.812,   1.614, 51,  0,   0.933,   1.896,   0.527,   0.097,   0.174,   0.048,  30.000,  51.000,  71.000,   0.000,   0.000,99999999,   0.000
17:06:46:983, 15722006375941,    2.094,    9.000, 1800,   4.318,  11.880,   3.300,   1.388,   5.961,   1.656, 51,  0,   0.919,   1.994,   0.554,   0.074,   0.182,   0.051,  30.000,  51.000,  71.000,   0.000,   0.000,99999999,   0.000
17:06:47:092, 15722223379930,    2.203,    9.000, 1800,   3.932,  12.308,   3.419,   1.344,   6.107,   1.696, 51,  0,   0.918,   2.094,   0.582,   0.081,   0.191,   0.053,  30.000,  51.000,  71.000,   0.000,   0.000,99999999,   0.000
17:06:47:203, 15722444720447,    2.314,   12.000, 3100,   5.017,  12.866,   3.574,   2.445,   6.379,   1.772, 56,  0,   0.834,   2.187,   0.608,   0.004,   0.191,   0.053,  30.000,  51.000,  71.000,   0.000,   0.000,99999999,   0.000
17:06:47:316, 15722670500095,    2.427,    6.000, 1800,   4.976,  13.430,   3.731,   2.287,   6.638,   1.844, 51,  0,   0.848,   2.283,   0.634,   0.026,   0.194,   0.054,  30.000,  51.000,  71.000,   0.000,   0.000,99999999,   0.000
17:06:47:425, 15722887290886,    2.536,   10.000, 1800,   4.031,  13.869,   3.852,   1.372,   6.787,   1.885, 51,  0,   0.929,   2.384,   0.662,   0.089,   0.204,   0.057,  30.000,  51.000,  71.000,   0.000,   0.000,99999999,   0.000
17:06:47:532, 15723100621815,    2.643,   11.000, 1800,   4.413,  14.341,   3.984,   1.472,   6.945,   1.929, 50,  0,   0.942,   2.485,   0.690,   0.089,   0.214,   0.059,  30.000,  51.000,  71.000,   0.000,   0.000,99999999,   0.000
17:06:47:641, 15723318219809,    2.752,    9.000, 1800,   4.079,  14.787,   4.107,   1.326,   7.090,   1.969, 51,  0,   0.922,   2.586,   0.718,   0.087,   0.223,   0.062,  30.000,  51.000,  71.000,   0.000,   0.000,99999999,   0.000
17:06:47:751, 15723537304352,    2.862,    5.000, 1800,   3.742,  15.198,   4.222,   0.701,   7.167,   1.991, 50,  0,   0.796,   2.673,   0.743,   0.028,   0.226,   0.063,  30.000,  51.000,  71.000,   0.000,   0.000,99999999,   0.000
17:06:47:861, 15723754666535,    2.972,    9.000, 1800,   3.889,  15.623,   4.340,   1.345,   7.314,   2.032, 50,  0,   0.922,   2.774,   0.771,   0.089,   0.236,   0.066,  30.000,  51.000,  71.000,   0.000,   0.000,99999999,   0.000
17:06:47:968, 15723968338727,    3.079,    9.000, 1800,   4.089,  16.061,   4.461,   1.384,   7.462,   2.073, 50,  0,   0.819,   2.862,   0.795,   0.117,   0.248,   0.069,  30.000,  51.000,  71.000,   0.000,   0.000,99999999,   0.000
17:06:48:076, 15724183113681,    3.187,   11.000, 2200,   4.338,  16.529,   4.591,   1.622,   7.637,   2.121, 51,  0,   0.935,   2.963,   0.823,   0.089,   0.258,   0.072,  30.000,  51.000,  71.000,   0.000,   0.000,99999999,   0.000
