datetime,created_at,updated_at,timestamp,zone_name,carbon_intensity_avg,carbon_intensity_direct_avg,carbon_intensity_production_avg,carbon_intensity_discharge_avg,carbon_intensity_import_avg,total_production_avg,total_storage_avg,total_discharge_avg,total_import_avg,total_export_avg,total_consumption_avg,production_sources,power_origin_percent_fossil_avg,power_origin_percent_renewable_avg,power_production_percent_fossil_avg,power_production_percent_renewable_avg,power_production_nuclear_avg,power_production_geothermal_avg,power_production_biomass_avg,power_production_coal_avg,power_production_wind_avg,power_production_solar_avg,power_production_hydro_avg,power_production_gas_avg,power_production_oil_avg,power_production_unknown_avg,power_consumption_nuclear_avg,power_consumption_geothermal_avg,power_consumption_biomass_avg,power_consumption_coal_avg,power_consumption_wind_avg,power_consumption_solar_avg,power_consumption_hydro_avg,power_consumption_gas_avg,power_consumption_oil_avg,power_consumption_unknown_avg,power_consumption_battery_discharge_avg,power_consumption_hydro_discharge_avg,power_net_discharge_battery_avg,power_net_discharge_hydro_avg,power_net_import_ES_avg,carbon_intensity_exchange_ES_avg,latest_forecasted_wind_x_avg,latest_forecasted_wind_y_avg,latest_forecasted_solar_avg,latest_forecasted_temperature_avg,latest_forecasted_dewpoint_avg,latest_forecasted_precipitation_avg,latest_forecasted_price_avg,latest_forecasted_production_avg,latest_forecasted_consumption_avg,latest_forecasted_power_net_import_ES_avg,latest_forecasted_production_solar_avg,latest_forecasted_production_wind_avg
2021-04-01T00:00:00+00:00,2022-02-04T16:55:11.373028+00:00,2022-03-14T14:44:21.952667+00:00,1617235200,PT,92.58,49.55,89.9,,132.98,5083,817,0,338,0,4604,entsoe.eu,13,85.58,12.35,87.65,,,404,0,3616,0,435,599,,29,65.27,0,351.69,3.26,3198.83,0.33,389.17,568.54,1.12,25.79,0,0,,-817,338,132.98,-2,2.69,3.98,287.79,280.89,0.17,43,4681,4604,508,0,3052
2021-04-01T01:00:00+00:00,2022-02-04T16:49:58.778849+00:00,2022-03-14T14:44:21.952667+00:00,1617238800,PT,97.98,53.45,94.03,,129.42,4845,1033,0,610,0,4422,entsoe.eu,14,83.43,12.98,87.02,,,406,0,3351,0,459,600,,29,113.46,0,343.82,5.11,2936.63,0.58,408.45,586.41,1.94,25.6,0,0,,-1033,610,129.42,-2.04,3.34,0,287.46,281.16,0.07,42.99,4533,4453,550,0,2907
2021-04-01T02:00:00+00:00,2022-02-04T16:55:11.373028+00:00,2022-03-14T14:44:22.564481+00:00,1617242400,PT,107.48,59.62,102.68,,137.64,4370,654,0,695,0,4411,entsoe.eu,15.63,81.21,14.32,85.68,,,405,0,2860,0,479,598,,28,139.4,0,371.02,5.94,2751.76,0.55,458.93,654.05,2.38,26.97,0,0,,-654,695,137.64,-1.97,3.39,0,286.88,281.42,0.17,42.88,4209,4353,815,0,2676
2021-04-01T03:00:00+00:00,2022-02-04T16:55:11.373028+00:00,2022-03-14T14:44:21.580766+00:00,1617246000,PT,116.26,65.12,111.96,,137.51,3970,541,0,802,0,4231,entsoe.eu,17.06,78.97,15.72,84.28,,,408,0,2409,1,528,597,,27,167.76,0,383.95,7.13,2434.81,1.52,521.11,684.82,2.75,27.13,0,0,,-541,802,137.51,-1.83,3.75,0,286.85,281.12,0.17,45.7,4233,4334,487,0,2518
2021-04-01T04:00:00+00:00,2022-02-04T16:49:58.101622+00:00,2022-03-14T14:44:22.564481+00:00,1617249600,PT,119.38,66.8,118.16,,135.96,4172,148,0,308,0,4332,entsoe.eu,17.62,80.72,17.21,82.79,,,400,0,2296,1,757,691,,27,71.57,0,396.33,3.04,2337.8,1.23,761.56,731.72,1.21,27.54,0,0,,-148,308,135.96,-1.53,3.36,0,286.39,281.71,0.24,49.65,4436,4415,136,0,2418
2021-04-01T05:00:00+00:00,2022-02-04T16:49:58.284222+00:00,2022-03-14T14:44:21.952667+00:00,1617253200,PT,135.3,78.94,135.28,,138.59,4607,17,0,25,0,4615,entsoe.eu,21,78.87,20.99,79.01,,,405,0,2083,1,1151,940,,27,5.95,0,404.33,0.26,2084.5,1.02,1149.86,941.97,0.11,27.02,0,0,,-17,25,138.59,-1.6,3.21,0,285.74,282.13,0.4,54.86,5314,4645,-683,0,2318
2021-04-01T06:00:00+00:00,2022-02-04T16:49:58.102721+00:00,2022-04-07T11:28:27.375341+00:00,1617256800,PT,150.47,99.56,152.82,136.44,,4966,0,834,0,870,4930,entsoe.eu,21.33,78.67,21.33,78.67,,,387,0,1746,8,1588,1208,,29,0,0,328.95,0,1484.1,6.8,1349.8,1026.8,0,24.65,0,708.9,,834,-870,150.47,-1.37,3.13,0,285.35,282.43,0.58,61.13,6444,5085,-1313,3,2210
2021-04-01T07:00:00+00:00,2022-02-04T16:49:58.284222+00:00,2022-04-07T11:35:03.914478+00:00,1617260400,PT,150.64,101.97,153.99,136.44,,5092,0,1204,0,642,5654,entsoe.eu,20.25,79.75,20.25,79.75,,,387,0,1551,101,1778,1246,,29,0,0,347.54,0,1392.85,90.7,1596.7,1118.95,0,26.04,0,1081.23,,1204,-642,150.64,-1.19,2.72,16.25,285.55,282.88,0.15,61.16,6791,5837,-1332,69,2072
2021-04-01T08:00:00+00:00,2022-02-04T16:49:58.778849+00:00,2022-04-07T11:28:29.611427+00:00,1617264000,PT,157.31,103.27,161.53,136.44,139.53,4900,0,783,245,0,5928,entsoe.eu,22.68,76.41,22.68,77.32,,,393,0,1397,197,1624,1259,,30,53.52,0,400.44,3.59,1460.8,230.91,1654.58,1309.19,0.97,31.01,0,783,,783,245,139.53,-1.05,3.49,70.56,286.68,283.43,0.27,55,5885,6250,-24,163,1952
2021-04-01T09:00:00+00:00,2022-02-04T16:49:58.102721+00:00,2022-04-07T11:28:27.375341+00:00,1617267600,PT,157.86,103.07,162.54,136.44,138.31,4840,0,737,352,0,5929,entsoe.eu,22.88,75.81,22.93,77.07,,,396,0,1398,240,1527,1250,,29,77.28,0,406.44,5.85,1481.19,306.92,1563.45,1318.97,1.4,30.51,0,737,,737,352,138.31,-0.67,3.97,142.77,287.9,283.57,0.49,50.12,5719,6379,329,232,1961
