System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
14:20:43:013, 13746914062700,    0.115,   22.000,  800,   3.447,   0.398,   0.111,   1.184,   0.137,   0.038, 43,  0,   0.846,   0.098,   0.027,   0.188,   0.022,   0.006,  30.000,  51.000,  71.000,   0.000,   0.000,99999999,   0.000
14:20:43:129, 13747144567212,    0.231,    4.000,  800,   1.809,   0.607,   0.169,   0.190,   0.159,   0.044, 42,  0,   0.350,   0.138,   0.038,   0.000,   0.022,   0.006,  30.000,  51.000,  71.000,   0.000,   0.000,99999999,   0.000
14:20:43:246, 13747377382260,    0.348,    6.000,  700,   1.467,   0.779,   0.216,   0.148,   0.176,   0.049, 42,  0,   0.331,   0.177,   0.049,   0.000,   0.022,   0.006,  30.000,  51.000,  71.000,   0.000,   0.000,99999999,   0.000
14:20:43:363, 13747609884018,    0.465,    8.000,  700,   2.201,   1.036,   0.288,   0.358,   0.218,   0.060, 41,  0,   0.390,   0.222,   0.062,   0.000,   0.022,   0.006,  30.000,  51.000,  71.000,   0.000,   0.000,99999999,   0.000
14:20:43:479, 13747842334218,    0.581,    3.000,  700,   1.665,   1.230,   0.342,   0.129,   0.233,   0.065, 41,  0,   0.327,   0.260,   0.072,   0.000,   0.022,   0.006,  30.000,  51.000,  71.000,   0.000,   0.000,99999999,   0.000
14:20:43:596, 13748074720800,    0.698,    7.000,  700,   1.678,   1.426,   0.396,   0.265,   0.264,   0.073, 41,  0,   0.372,   0.304,   0.084,   0.015,   0.023,   0.007,  30.000,  51.000,  71.000,   0.000,   0.000,99999999,   0.000
14:20:43:712, 13748307044040,    0.815,    6.000,  700,   1.593,   1.611,   0.448,   0.189,   0.286,   0.079, 41,  0,   0.352,   0.345,   0.096,   0.000,   0.023,   0.007,  30.000,  51.000,  71.000,   0.000,   0.000,99999999,   0.000
14:20:43:850, 13748581344116,    0.952,   43.000,  800,   2.519,   1.958,   0.544,   1.146,   0.443,   0.123, 41,  0,   0.445,   0.406,   0.113,   0.000,   0.023,   0.007,  30.000,  51.000,  71.000,   0.000,   0.000,99999999,   0.000
14:20:43:962, 13748803363700,    1.064,   25.000,  800,   2.345,   2.220,   0.617,   0.886,   0.542,   0.151, 41,  0,   0.386,   0.449,   0.125,   0.000,   0.023,   0.007,  30.000,  51.000,  71.000,   0.000,   0.000,99999999,   0.000
14:20:44:111, 13749099325160,    1.212,   15.000, 1300,   2.490,   2.590,   0.719,   1.043,   0.697,   0.194, 41,  0,   0.342,   0.500,   0.139,   0.009,   0.025,   0.007,  30.000,  51.000,  71.000,   0.000,   0.000,99999999,   0.000
