System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
14:20:48:279, 13757402635687,    0.106,   48.000,  800,   3.992,   0.424,   0.118,   1.512,   0.161,   0.045, 41,  0,   1.039,   0.110,   0.031,   0.266,   0.028,   0.008,  30.000,  51.000,  71.000,   0.000,   0.000,99999999,   0.000
14:20:48:395, 13757633940499,    0.222,   18.000,  800,   2.572,   0.723,   0.201,   0.695,   0.241,   0.067, 41,  0,   0.473,   0.165,   0.046,   0.069,   0.036,   0.010,  30.000,  51.000,  71.000,   0.000,   0.000,99999999,   0.000
14:20:48:509, 13757861494138,    0.337,   15.000, 2300,   3.282,   1.098,   0.305,   1.633,   0.428,   0.119, 42,  0,   0.350,   0.205,   0.057,   0.000,   0.036,   0.010,  30.000,  51.000,  71.000,   0.000,   0.000,99999999,   0.000
14:20:48:621, 13758083725300,    0.448,   14.000, 3700,  11.016,   2.327,   0.646,   9.535,   1.492,   0.414, 58,  0,   0.478,   0.259,   0.072,   0.000,   0.036,   0.010,  30.000,  51.000,  71.000,   0.000,   0.000,99999999,   0.000
14:20:48:731, 13758303233890,    0.558,   15.000, 3100,  13.458,   3.810,   1.058,  11.918,   2.805,   0.779, 59,  0,   0.491,   0.313,   0.087,   0.000,   0.036,   0.010,  30.000,  51.000,  71.000,   0.000,   0.000,99999999,   0.000
14:20:48:838, 13758516756635,    0.666,   13.000, 3500,  11.891,   5.084,   1.412,   9.920,   3.868,   1.075, 52,  0,   0.515,   0.368,   0.102,   0.023,   0.039,   0.011,  30.000,  51.000,  71.000,   0.000,   0.000,99999999,   0.000
14:20:48:942, 13758723466933,    0.769,   12.000, 3100,  11.302,   6.257,   1.738,   9.624,   4.867,   1.352, 66,  0,   0.423,   0.412,   0.114,   0.000,   0.039,   0.011,  30.000,  51.000,  71.000,   0.000,   0.000,99999999,   0.000
14:20:49:045, 13758928833162,    0.872,   17.000, 3500,  13.705,   7.670,   2.131,  12.024,   6.107,   1.696, 51,  0,   0.715,   0.486,   0.135,   0.000,   0.039,   0.011,  30.000,  51.000,  71.000,   0.000,   0.000,99999999,   0.000
14:20:49:158, 13759154315508,    0.986,   32.000, 3100,  14.780,   9.343,   2.595,  12.436,   7.514,   2.087, 56,  0,   1.155,   0.616,   0.171,   0.000,   0.039,   0.011,  30.000,  51.000,  71.000,   0.000,   0.000,99999999,   0.000
14:20:49:277, 13759391450717,    1.105,   35.000, 3500,  14.281,  11.043,   3.068,  12.336,   8.983,   2.495, 62,  0,   0.856,   0.718,   0.199,   0.000,   0.039,   0.011,  30.000,  51.000,  71.000,   0.000,   0.000,99999999,   0.000
